;2026-06-02 07:05:00
;;EL;2134241001;20260501;2432,12;20260531;2612,8;180,68;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241003;20260501;1407,57;20260531;1537,39;129,82;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241004;20260501;4230,26;20260531;4671,41;441,15;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241005;20260501;2935,99;20260531;3178,16;242,17;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241006;20260501;1256,01;20260531;1377,49;121,48;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241007;20260501;1974,42;20260531;2158,46;184,04;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241008;20260501;3570,61;20260531;3746,67;176,06;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241009;20260501;1360,2;20260531;1472,37;112,17;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241010;20260501;2504,26;20260531;2694,43;190,17;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241011;20260501;3048,26;20260531;3390,33;342,07;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241012;20260501;1759,68;20260531;1931,06;171,38;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241014;20260501;3098,4;20260531;3364,38;265,98;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241015;20260501;1756,56;20260531;1911,62;155,06;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241016;20260501;821,74;20260531;753,07;86,02;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241017;20260501;2402,09;20260531;2605,16;203,07;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241018;20260501;2475,59;20260531;2697,22;221,63;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241019;20260501;4280,22;20260531;4633,42;353,2;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241020;20260501;2588,15;20260531;2795,7;207,55;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241021;20260501;4051,33;20260531;4483,84;432,51;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241022;20260501;1628,48;20260531;1763,73;135,25;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241023;20260501;2384,49;20260531;2625,19;240,7;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241024;20260501;1507,96;20260531;1659,83;151,87;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241025;20260501;1885,44;20260531;2051,19;165,75;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241026;20260501;1876,2;20260531;2044,04;167,84;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241027;20260501;1250,1;20260531;1381,01;130,91;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241028;20260501;1987,72;20260531;2147,32;159,6;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241029;20260501;2502,74;20260531;2748,5;245,76;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241030;20260501;3663,65;20260531;3932,07;268,42;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241031;20260501;1735,27;20260531;1895,25;159,98;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241032;20260501;3610,43;20260531;3870,62;260,19;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241033;20260501;4016,64;20260531;4392,75;376,11;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241035;20260501;3400,81;20260531;3686,98;286,17;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241121;20260501;2338,41;20260531;2549,25;210,84;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241122;20260501;3267,69;20260531;3599,03;331,34;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241123;20260501;3546,78;20260531;3860,12;313,34;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241131;20260501;2169,68;20260531;2359,38;189,7;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241132;20260501;2612,33;20260531;2947,8;335,47;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241133;20260501;3908,48;20260531;4267,99;359,51;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241141;20260501;2018,3;20260531;2182,44;164,14;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241142;20260501;2271,21;20260531;2529,01;257,8;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241143;20260501;2537,42;20260531;2760,55;223,13;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241151;20260501;824,48;20260531;896,52;72,04;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241152;20260501;2369,75;20260531;2554,94;185,19;2;2,5;;;;;kWh;Paviljongen IMD
;;EL;2134241153;20260501;5068,52;20260531;5509,12;440,6;2;2,5;;;;;kWh;Paviljongen IMD
